GeneID	GeneName	seed	spikelet	stem
SORBI_3001G044600	SORBI_3001G044600	2	5	7
SORBI_3001G044700	SORBI_3001G044700	0.7	7	
SORBI_3001G044800	SORBI_3001G044800	78	127	26
SORBI_3001G044900	SORBI_3001G044900	5	8	17
SORBI_3001G045000	SORBI_3001G045000	32	63	81
SORBI_3001G045100	SORBI_3001G045100		0.9	
SORBI_3001G045400	SORBI_3001G045400		19	
SORBI_3001G045600	SORBI_3001G045600	29	75	127
SORBI_3001G045700	SORBI_3001G045700	45	47	57
SORBI_3001G045800	SORBI_3001G045800		0.6	0.8
SORBI_3001G046000	SORBI_3001G046000	12	7	7
SORBI_3001G046100	SORBI_3001G046100	65	106	110
SORBI_3001G046200	SORBI_3001G046200	4	6	9
SORBI_3001G046300	SORBI_3001G046300	102	123	164
SORBI_3001G046400	SORBI_3001G046400	21	17	86
SORBI_3001G046500	SORBI_3001G046500	3	3	4
SORBI_3001G046600	SORBI_3001G046600	3	12	185
SORBI_3001G046700	SORBI_3001G046700	1	124	100
SORBI_3001G046800	SORBI_3001G046800		7	19
SORBI_3001G046900	SORBI_3001G046900	24	156	88
SORBI_3001G047000	SORBI_3001G047000	11	17	23
SORBI_3001G047100	SORBI_3001G047100	18	40	48
SORBI_3001G047200	SORBI_3001G047200	27	40	54
SORBI_3001G047400	SORBI_3001G047400	18	26	36
SORBI_3001G047600	SORBI_3001G047600	22	73	58
SORBI_3001G047700	SORBI_3001G047700	2	6	2
SORBI_3001G047800	SORBI_3001G047800	150	399	222
SORBI_3001G047900	SORBI_3001G047900	2	4	8
SORBI_3001G048000	SORBI_3001G048000		0.7	18
SORBI_3001G048100	SORBI_3001G048100	55	88	121
SORBI_3001G048200	SORBI_3001G048200	9	26	47
SORBI_3001G048300	SORBI_3001G048300	0.8	5	0.7
SORBI_3001G048400	SORBI_3001G048400	4	19	5
SORBI_3001G048600	SORBI_3001G048600		0.5	
SORBI_3001G048700	SORBI_3001G048700	12	18	17
SORBI_3001G048766	SORBI_3001G048766	6	46	78
SORBI_3001G048832	SORBI_3001G048832	50	95	82
SORBI_3001G048900	SORBI_3001G048900	7	0.8	8
SORBI_3001G049000	SORBI_3001G049000		0.5	0.8
SORBI_3001G049200	SORBI_3001G049200	10	22	36
SORBI_3001G049300	SORBI_3001G049300	13	46	26
SORBI_3001G049400	SORBI_3001G049400	51	121	117
SORBI_3001G049500	SORBI_3001G049500	24	42	55
SORBI_3001G049600	SORBI_3001G049600	53	67	68
SORBI_3001G049700	SORBI_3001G049700		0.5	
