GeneID,Gene Name,floral meristem,flower,plant embryo,root,shoot,vegetative meristem
ENSRNA049996449,sbi-MIR6224c,3,,1,1,0.5,0.4
ENSRNA049996478,sbi-MIR397,1,,,0.9,,
ENSRNA049996513,sbi-MIR5568d,0.6,1,,,,1
ENSRNA049996525,sbi-MIR399a,0.7,,,,,
ENSRNA049996537,sbi-MIR319b,36,,,,,28
ENSRNA049996543,sbi-MIR5568g,4,0.4,3,,1,2
ENSRNA049996548,sbi-MIR437m,2,0.9,1,,,
ENSRNA049996564,sbi-MIR169a,,11,,0.9,15,
ENSRNA049996585,sbi-MIR437n,5,4,5,3,13,3
ENSRNA049996614,sbi-MIR159b,,2,,0.3,,
ENSRNA049996626,sbi-MIR1432,,,,0.6,0.8,
ENSRNA049996671,sbi-MIR1435a,0.6,,,0.4,0.4,0.6
ENSRNA049996683,sbi-MIR156f,,,,,0.8,
ENSRNA049996703,sbi-MIR6231,6,0.5,5,,,2
ENSRNA049996710,sbi-MIR437l,,,,,,0.5
ENSRNA049996721,sbi-MIR6229,1,,,,,2
ENSRNA049996736,sbi-MIR171c,2,,,,,0.9
ENSRNA049996783,sbi-MIR160e,3,,,,5,
ENSRNA049996839,sbi-MIR5565b,0.9,,,,,
ENSRNA049996856,sbi-MIR171g,,,,,,5
ENSRNA049996871,sbi-MIR399h,23,6,4,5,13,35
ENSRNA049996882,sbi-MIR399f,66,23,10,8,16,55
ENSRNA049996905,sbi-MIR396b,2,10,4,22,2,9
ENSRNA049996930,sbi-MIR437j,,,1,,,
ENSRNA049996987,sbi-MIR437i,3,2,5,2,2,4
ENSRNA049997003,sbi-MIR437f,0.6,,,,,
ENSRNA049997017,sbi-MIR171i,4,,,,,
ENSRNA049997038,sbi-MIR6222,4,,,1,,
ENSRNA049997042,sbi-MIR6224a,0.6,,,,,
ENSRNA049997055,sbi-MIR167f,,,,2,,
ENSRNA049997061,sbi-MIR437d,,,2,,,0.7
ENSRNA049997087,sbi-MIR437b,6,2,10,0.7,0.7,6
ENSRNA049997116,sbi-MIR437k,0.6,,1,0.7,,0.6
ENSRNA049997123,sbi-MIR171a,,0.9,,28,,
ENSRNA049997137,sbi-MIR169o,3,1,2,0.7,,2
ENSRNA049997145,sbi-MIR390,,,,,,1
ENSRNA049997152,sbi-MIR167a,7,,,,,1
ENSRNA049997158,sbi-MIR160d,47,,,,,31
SORBI_3001G000100,SORBI_3001G000100,,,,3,0.5,0.1
SORBI_3001G000200,SORBI_3001G000200,51,39,26,66,29,51
SORBI_3001G000300,SORBI_3001G000300,0.8,,0.4,0.2,,0.2
SORBI_3001G000400,SORBI_3001G000400,22,19,31,45,3,28
SORBI_3001G000700,SORBI_3001G000700,3,3,3,3,1,2
SORBI_3001G000800,SORBI_3001G000800,47,64,63,62,229,47
SORBI_3001G000900,SORBI_3001G000900,,4,,0.3,,0.1
SORBI_3001G001000,SORBI_3001G001000,0.1,2,,2,0.7,
SORBI_3001G001132,SORBI_3001G001132,,0.2,,2,0.5,
SORBI_3001G001200,SORBI_3001G001200,3,0.7,2,1,0.5,5
SORBI_3001G001300,SORBI_3001G001300,10,10,4,2,40,9
SORBI_3001G001400,SORBI_3001G001400,52,48,83,59,29,47
SORBI_3001G001700,SORBI_3001G001700,2,0.7,1,0.5,0.1,1
SORBI_3001G001800,SORBI_3001G001800,3,21,2,2,1,2
SORBI_3001G001900,SORBI_3001G001900,20,11,11,14,11,19
SORBI_3001G002000,SORBI_3001G002000,71,68,63,75,46,67
SORBI_3001G002050,SORBI_3001G002050,26,13,17,19,10,25
SORBI_3001G002100,SORBI_3001G002100,6,3,1,6,5,5
SORBI_3001G002200,SORBI_3001G002200,,13,,,,
SORBI_3001G002300,SORBI_3001G002300,,0.2,0.1,,4,
SORBI_3001G002400,SORBI_3001G002400,,39,0.6,0.2,1,
SORBI_3001G002500,SORBI_3001G002500,0.2,,,,,0.1
SORBI_3001G002600,SORBI_3001G002600,59,30,24,19,17,58
SORBI_3001G002650,SORBI_3001G002650,,,,,0.1,
SORBI_3001G002700,SORBI_3001G002700,0.2,3,0.4,4,4,0.7
SORBI_3001G002800,SORBI_3001G002800,0.6,22,,135,14,2
SORBI_3001G003000,SORBI_3001G003000,10,14,14,13,7,10
SORBI_3001G003100,SORBI_3001G003100,129,77,334,180,182,174
SORBI_3001G003200,SORBI_3001G003200,29,38,8,5,143,20
SORBI_3001G003300,SORBI_3001G003300,28,5,21,9,6,35
SORBI_3001G003400,SORBI_3001G003400,,6,,,0.1,
SORBI_3001G003500,SORBI_3001G003500,43,17,32,26,14,40
SORBI_3001G003600,SORBI_3001G003600,,0.3,,,29,
SORBI_3001G003700,SORBI_3001G003700,0.7,4,1,10,3,1
SORBI_3001G003900,SORBI_3001G003900,7,1,3,2,10,8
SORBI_3001G004000,SORBI_3001G004000,0.2,0.6,,3,3,0.4
SORBI_3001G004100,SORBI_3001G004100,77,39,91,44,31,68
SORBI_3001G004200,SORBI_3001G004200,52,37,72,50,26,51
SORBI_3001G004300,SORBI_3001G004300,,2,,4,3,0.2
SORBI_3001G004400,SORBI_3001G004400,104,42,119,78,40,126
SORBI_3001G004500,SORBI_3001G004500,0.2,15,,0.4,88,0.3
SORBI_3001G004600,SORBI_3001G004600,62,0.8,42,0.7,0.5,40
SORBI_3001G004700,SORBI_3001G004700,11,5,5,9,6,10
SORBI_3001G004800,SORBI_3001G004800,42,6,25,13,11,53
SORBI_3001G004901,SORBI_3001G004901,0.2,0.3,0.9,,0.6,0.6
SORBI_3001G005000,SORBI_3001G005000,9,3,2,23,3,12
SORBI_3001G005100,SORBI_3001G005100,0.2,0.1,0.2,0.2,,0.1
SORBI_3001G005200,SORBI_3001G005200,7,34,2,1,238,8
SORBI_3001G005300,SORBI_3001G005300,3,31,1,7,4,7
SORBI_3001G005400,SORBI_3001G005400,,2,,,,
SORBI_3001G005500,SORBI_3001G005500,37,92,3,3,500,26
SORBI_3001G005600,SORBI_3001G005600,106,74,117,79,39,112
SORBI_3001G005700,SORBI_3001G005700,11,2,2,0.9,0.7,11
SORBI_3001G005800,SORBI_3001G005800,121,20,43,22,4,100
SORBI_3001G005900,SORBI_3001G005900,70,122,90,125,83,98
SORBI_3001G006000,SORBI_3001G006000,18,11,6,4,69,15
SORBI_3001G006101,SORBI_3001G006101,0.1,0.7,,0.3,,
SORBI_3001G006201,SORBI_3001G006201,0.1,5,,13,1,0.4
SORBI_3001G006300,SORBI_3001G006300,,,0.2,,1,0.9
SORBI_3001G006400,SORBI_3001G006400,25,28,17,48,71,25
SORBI_3001G006500,SORBI_3001G006500,8,7,3,3,2,8
SORBI_3001G006600,SORBI_3001G006600,2,1,0.3,,0.4,2
SORBI_3001G006700,SORBI_3001G006700,57,53,70,43,21,50
SORBI_3001G006800,SORBI_3001G006800,122,14,42,13,2,126
SORBI_3001G006900,SORBI_3001G006900,2,1,,0.1,0.7,0.7
SORBI_3001G007000,SORBI_3001G007000,25,34,25,42,21,28
SORBI_3001G007100,SORBI_3001G007100,46,17,20,11,8,42
SORBI_3001G007200,SORBI_3001G007200,53,40,57,35,24,51
SORBI_3001G007300,SORBI_3001G007300,43,20,5,33,16,34
SORBI_3001G007400,SORBI_3001G007400,104,34,49,29,16,93
SORBI_3001G007500,SORBI_3001G007500,41,12,23,15,10,48
SORBI_3001G007600,SORBI_3001G007600,108,71,80,161,52,89
SORBI_3001G007700,SORBI_3001G007700,3,10,3,14,15,3
SORBI_3001G007800,SORBI_3001G007800,35,15,24,20,12,37
SORBI_3001G007900,SORBI_3001G007900,36,16,20,22,13,38
SORBI_3001G008000,SORBI_3001G008000,21,4,10,3,3,22
SORBI_3001G008100,SORBI_3001G008100,67,70,70,70,31,78
SORBI_3001G008200,SORBI_3001G008200,26,12,20,14,8,29
SORBI_3001G008300,SORBI_3001G008300,20,7,8,4,2,23
SORBI_3001G008400,SORBI_3001G008400,11,0.3,1,3,0.2,8
SORBI_3001G008500,SORBI_3001G008500,111,31,81,57,23,123
SORBI_3001G008600,SORBI_3001G008600,0.7,57,0.4,4,2,0.2
SORBI_3001G008700,SORBI_3001G008700,23,26,31,17,30,22
SORBI_3001G008800,SORBI_3001G008800,97,68,47,66,35,108
SORBI_3001G008900,SORBI_3001G008900,2,5,3,27,6,2
SORBI_3001G009100,SORBI_3001G009100,,0.2,0.2,0.1,0.1,0.4
SORBI_3001G009200,SORBI_3001G009200,15,8,5,6,3,21
SORBI_3001G009300,SORBI_3001G009300,89,90,78,66,43,85
SORBI_3001G009400,SORBI_3001G009400,4,0.7,3,1,0.7,4
SORBI_3001G009500,SORBI_3001G009500,4,7,2,15,2,5
SORBI_3001G009600,SORBI_3001G009600,15,54,80,25,40,13
SORBI_3001G009700,SORBI_3001G009700,18,6,8,12,2,27
SORBI_3001G009800,SORBI_3001G009800,149,210,137,172,92,167
SORBI_3001G009900,SORBI_3001G009900,4,5,5,12,3,6
SORBI_3001G010000,SORBI_3001G010000,2,0.5,1,0.5,0.3,2
